Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time
192.168.10.17-192.168.10.3-2060-53-17,192.168.10.17,2060,192.168.10.3,53,17,2017-07-07 12:04:42.320698,175,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,914285.7142857144,22857.14285714286,58.33333333333333,95.84014468547788,169,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,11428.57142857143,11428.57142857143,32,48,40.0,9.237604307034012,85.33333333333331,0,0,0,0,0,0,0,0,1.0,40.0,32.0,48.0,0,0,0,0,0,0,0,16,0,24,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.17-192.168.10.3-37952-53-17,192.168.10.17,37952,192.168.10.3,53,17,2017-07-07 12:04:42.320702,235,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,944680.8510638298,17021.276595744683,78.33333333333333,95.44282756359084,185,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,0,0,16,16,8510.638297872341,8510.638297872341,32,79,55.5,27.13546265191241,736.3333333333334,0,0,0,0,0,0,0,0,1.0,55.5,32.0,79.0,0,0,0,0,0,0,0,16,0,39,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.17-192.168.10.3-46104-88-17,192.168.10.17,46104,192.168.10.3,88,17,2017-07-07 12:04:42.321036,7169,2,2,506,2796,253,253,253.0,0.0,1398,1398,1398.0,0.0,460594.22513600223,557.9578741804994,2389.666666666667,4132.095876590151,7161,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,0,0,16,16,278.9789370902497,278.9789370902497,253,1398,825.5,661.0660582221215,437008.3333333333,0,0,0,0,0,0,0,0,1.0,825.5,253.0,1398.0,0,0,0,0,0,0,0,126,0,699,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.17-192.168.10.3-65288-53-17,192.168.10.17,65288,192.168.10.3,53,17,2017-07-07 12:04:42.328364,171,2,2,102,224,51,51,51.0,0.0,112,112,112.0,0.0,1906432.748538012,23391.812865497075,57.0,92.6660671443436,164,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,0,0,16,16,11695.906432748538,11695.906432748538,51,112,81.5,35.21836642056717,1240.3333333333333,0,0,0,0,0,0,0,0,1.0,81.5,51.0,112.0,0,0,0,0,0,0,0,25,0,56,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.17-192.168.10.3-45789-53-17,192.168.10.17,45789,192.168.10.3,53,17,2017-07-07 12:04:42.328994,166,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,1662650.6024096387,24096.385542168675,55.33333333333333,89.77935917199083,159,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,0,0,16,16,12048.192771084336,12048.192771084336,44,94,69.0,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,69.0,44.0,94.0,0,0,0,0,0,0,0,22,0,47,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.17-192.168.10.3-59280-53-17,192.168.10.17,59280,192.168.10.3,53,17,2017-07-07 12:04:42.329329,158,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,1746835.4430379749,25316.45569620253,52.66666666666667,85.1606325324873,151,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,0,0,16,16,12658.227848101267,12658.227848101267,44,94,69.0,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,69.0,44.0,94.0,0,0,0,0,0,0,0,22,0,47,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.17-192.168.10.3-41283-53-17,192.168.10.17,41283,192.168.10.3,53,17,2017-07-07 12:04:42.329704,165,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,969696.9696969696,24242.424242424244,55.0,90.06664199358161,159,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,12121.212121212122,12121.212121212122,32,48,40.0,9.237604307034012,85.33333333333331,0,0,0,0,0,0,0,0,1.0,40.0,32.0,48.0,0,0,0,0,0,0,0,16,0,24,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.17-192.168.10.3-49749-53-17,192.168.10.17,49749,192.168.10.3,53,17,2017-07-07 12:04:42.329708,175,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,1268571.4285714286,22857.14285714286,58.33333333333333,99.30424630061565,173,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,0,0,16,16,11428.57142857143,11428.57142857143,32,79,55.5,27.13546265191241,736.3333333333334,0,0,0,0,0,0,0,0,1.0,55.5,32.0,79.0,0,0,0,0,0,0,0,16,0,39,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.17-192.168.10.3-24484-53-17,192.168.10.17,24484,192.168.10.3,53,17,2017-07-07 12:04:42.330104,233,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,686695.278969957,17167.38197424893,77.66666666666666,129.32646029847618,227,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,8583.690987124464,8583.690987124464,32,48,40.0,9.237604307034012,85.33333333333331,0,0,0,0,0,0,0,0,1.0,40.0,32.0,48.0,0,0,0,0,0,0,0,16,0,24,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.17-192.168.10.3-57402-53-17,192.168.10.17,57402,192.168.10.3,53,17,2017-07-07 12:04:42.330108,245,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,906122.4489795918,16326.530612244898,81.66666666666666,139.71876514388944,243,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,0,0,16,16,8163.265306122449,8163.265306122449,32,79,55.5,27.13546265191241,736.3333333333334,0,0,0,0,0,0,0,0,1.0,55.5,32.0,79.0,0,0,0,0,0,0,0,16,0,39,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
