Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time
192.168.10.5-192.168.10.3-63307-53-17,192.168.10.5,63307,192.168.10.3,53,17,2017-07-04 11:54:57.657793,113659,2,2,66,226,33,33,33.0,0.0,113,113,113.0,0.0,2569.0882376230657,35.19298955648035,37886.33333333333,65614.99206990225,113652,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,0,0,16,16,17.596494778240174,17.596494778240174,33,113,73.0,46.18802153517007,2133.333333333333,0,0,0,0,0,0,0,0,1.0,73.0,33.0,113.0,0,0,0,0,0,0,0,16,0,56,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.3-192.168.10.1-61167-53-17,192.168.10.3,61167,192.168.10.1,53,17,2017-07-04 11:55:03.715649,50711,1,1,43,71,43,43,43.0,0.0,71,71,71.0,0.0,2248.032971150244,39.43917493246041,50711.0,0.0,50711,50711,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,19.719587466230205,19.719587466230205,43,71,57.0,19.79898987322333,392.0,0,0,0,0,0,0,0,0,1.0,57.0,43.0,71.0,0,0,0,0,0,0,0,21,0,35,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.3-192.168.10.1-60156-53-17,192.168.10.3,60156,192.168.10.1,53,17,2017-07-04 11:55:23.458571,23344,1,1,53,69,53,53,53.0,0.0,69,69,69.0,0.0,5226.182316655243,85.67511994516792,23344.0,0.0,23344,23344,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,42.83755997258396,42.83755997258396,53,69,61.0,11.31370849898476,128.0,0,0,0,0,0,0,0,0,1.0,61.0,53.0,69.0,0,0,0,0,0,0,0,26,0,34,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.3-192.168.10.1-60229-53-17,192.168.10.3,60229,192.168.10.1,53,17,2017-07-04 11:55:35.759732,46567,1,1,45,140,45,45,45.0,0.0,140,140,140.0,0.0,3972.7704168187774,42.94886937101381,46567.0,0.0,46567,46567,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,21.474434685506907,21.474434685506907,45,140,92.5,67.17514421272202,4512.5,0,0,0,0,0,0,0,0,1.0,92.5,45.0,140.0,0,0,0,0,0,0,0,22,0,70,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.3-192.168.10.1-61146-53-17,192.168.10.3,61146,192.168.10.1,53,17,2017-07-04 11:55:36.556025,48722,1,1,46,111,46,46,46.0,0.0,111,111,111.0,0.0,3222.363613973154,41.049218012396864,48722.0,0.0,48722,48722,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,20.524609006198432,20.524609006198432,46,111,78.5,45.96194077712559,2112.5,0,0,0,0,0,0,0,0,1.0,78.5,46.0,111.0,0,0,0,0,0,0,0,23,0,55,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.3-192.168.10.1-61546-53-17,192.168.10.3,61546,192.168.10.1,53,17,2017-07-04 11:56:26.253501,48747,1,1,101,165,101,101,101.0,0.0,165,165,165.0,0.0,5456.746056167559,41.02816583584631,48747.0,0.0,48747,48747,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,20.514082917923155,20.514082917923155,101,165,133.0,45.254833995939045,2048.0,0,0,0,0,0,0,0,0,1.0,133.0,101.0,165.0,0,0,0,0,0,0,0,50,0,82,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.3-192.168.10.1-60227-53-17,192.168.10.3,60227,192.168.10.1,53,17,2017-07-04 11:56:26.253603,24105,1,1,101,165,101,101,101.0,0.0,165,165,165.0,0.0,11035.054967848992,82.97033810412776,24105.0,0.0,24105,24105,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,41.48516905206388,41.48516905206388,101,165,133.0,45.254833995939045,2048.0,0,0,0,0,0,0,0,0,1.0,133.0,101.0,165.0,0,0,0,0,0,0,0,50,0,82,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.3-192.168.10.1-60084-53-17,192.168.10.3,60084,192.168.10.1,53,17,2017-07-04 11:56:26.253719,49118,1,1,101,165,101,101,101.0,0.0,165,165,165.0,0.0,5415.529948287796,40.71827028787817,49118.0,0.0,49118,49118,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,20.359135143939085,20.359135143939085,101,165,133.0,45.254833995939045,2048.0,0,0,0,0,0,0,0,0,1.0,133.0,101.0,165.0,0,0,0,0,0,0,0,50,0,82,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.3-192.168.10.1-61212-53-17,192.168.10.3,61212,192.168.10.1,53,17,2017-07-04 11:57:14.170086,48165,1,1,101,165,101,101,101.0,0.0,165,165,165.0,0.0,5522.682445759369,41.52392816360428,48165.0,0.0,48165,48165,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,20.761964081802137,20.761964081802137,101,165,133.0,45.254833995939045,2048.0,0,0,0,0,0,0,0,0,1.0,133.0,101.0,165.0,0,0,0,0,0,0,0,50,0,82,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
192.168.10.3-192.168.10.1-60610-53-17,192.168.10.3,60610,192.168.10.1,53,17,2017-07-04 11:57:18.435241,455011,1,1,101,165,101,101,101.0,0.0,165,165,165.0,0.0,584.6012513983178,4.39549813081442,455011.0,0.0,455011,455011,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,2.19774906540721,2.19774906540721,101,165,133.0,45.254833995939045,2048.0,0,0,0,0,0,0,0,0,1.0,133.0,101.0,165.0,0,0,0,0,0,0,0,50,0,82,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0
